product_name,tech_name,activity,actual_activity,procedure,volume,final_volume,filled_datetime,dispense_time,activity_error,container,QS
Medronate Tc-99m,Timothy Hunter,22.0,22.613,"Unidose, Medronate",0.64,0.8,2024-10-16 07:59:08,,2.7863636363636344,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.247,"Unidose, Medronate",0.667,0.8,2024-10-16 08:05:44,396.0,1.1227272727272724,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.335,"Unidose, Medronate",0.669,0.8,2024-10-16 08:12:47,423.0,1.5227272727272767,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.134,"Unidose, Medronate",0.703,0.8,2024-10-16 08:17:17,270.0,0.6090909090909106,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.359,"Unidose, Medronate",0.71,0.8,2024-10-16 08:19:54,157.0,1.6318181818181898,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.602,"Unidose, Medronate",0.76,0.8,2024-10-16 08:24:17,263.0,2.7363636363636377,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.171,"Unidose, Medronate",0.746,0.8,2024-10-16 08:29:37,320.0,0.7772727272727245,3cc,1
Medronate Tc-99m,Timothy Hunter,22.0,22.986,"Unidose, Medronate",0.773,0.8,2024-10-16 08:31:45,128.0,4.481818181818185,3cc,1
Medronate Tc-99m,Timothy Hunter,20.0,20.43,"Unidose, Medronate",0.612,0.599,2024-10-16 08:34:36,171.0,2.1499999999999986,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,20.572,"Unidose, Medronate",0.653,0.635,2024-10-16 08:37:24,168.0,2.859999999999996,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,20.055,"Unidose, Medronate",0.637,0.635,2024-10-16 08:39:08,104.0,0.2749999999999986,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,20.189,"Unidose, Medronate",0.719,0.712,2024-10-16 08:41:07,119.0,0.9450000000000004,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,20.852,"Unidose, Medronate",0.743,0.712,2024-10-16 08:46:16,309.0,4.260000000000002,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,20.851,"Unidose, Medronate",0.776,0.744,2024-10-16 08:53:03,407.0,4.2549999999999955,3cc,0
Medronate Tc-99m,Timothy Hunter,30.0,30.455,"Unidose, Medronate",0.675,0.665,2024-10-16 08:56:00,177.0,1.516666666666661,3cc,0
Medronate Tc-99m,Timothy Hunter,30.0,30.037,"Unidose, Medronate",1.118,1.117,2024-10-16 08:58:00,120.0,0.12333333333333012,3cc,0
Medronate Tc-99m,Timothy Hunter,30.0,30.206,"Unidose, Medronate",1.124,1.117,2024-10-16 09:01:41,221.0,0.686666666666665,3cc,0
Medronate Tc-99m,Timothy Hunter,20.0,21.51,"Unidose, Medronate",0.756,0.703,2024-10-16 09:04:20,159.0,7.550000000000008,3cc,0
Medronate Tc-99m,Timothy Hunter,25.0,26.735,"Unidose, Medronate",0.56,0.523,2024-10-16 09:06:06,106.0,6.939999999999998,3cc,0
Medronate Tc-99m,Timothy Hunter,25.0,25.702,"Unidose, Medronate",0.538,0.523,2024-10-16 09:07:41,95.0,2.808000000000007,3cc,0
